,Timestamp,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
642,25/11/2020 17:02:13,32,Female,Berlin,Software Engineer,6.0,4.0,Lead,Java,"Python, Kotlin, AWS, Docker",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
643,25/11/2020 17:06:04,27,Female,Berlin,Data Analyst ,1.0,1.0,Middle,"Python, SQL","Python, SQL",63000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
644,25/11/2020 17:08:54,31,Male,Frankfurt,Data Scientist,6.0,6.0,Senior,python,"Python, AWS, Docker",60000.0,30.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
645,25/11/2020 17:09:19,31,Male,Paris,Mobile Developer,8.0,0.0,Senior,Swift,Swift,60000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
646,25/11/2020 17:11:50,28,Male,Cologne,Backend Developer,4.0,4.0,Middle,Java,Pl/sql,44000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No
648,25/11/2020 17:20:37,27,Male,Berlin,Software Engineer,2.0,1.0,Lead,DWH,SQL,90000.0,31.0,full-time,Unlimited contract,English,1000+,Product,No
649,25/11/2020 17:20:50,29,Male,Berlin,Frontend Developer,8.0,5.0,Head,JavaScript,"Kubernetes, Docker",82500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
650,25/11/2020 17:45:05,32,Female,Munich,Data Engineer,10.0,2.0,Middle,Python,"Python, SQL, AWS, Docker, Spark, Airflow",75000.0,27.0,full-time,Unlimited contract,English,11-50,Startup,Yes
651,25/11/2020 17:45:21,28,Male,Berlin,QA Engineer,5.0,1.0,Middle,QA,Python,60000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
653,25/11/2020 17:48:02,38,Male,Dublin ,Mobile Developer,16.0,0.0,Senior,Swift,"Swift, Java / Scala",85000.0,24.0,full-time,Unlimited contract,English,101-1000,Product,No
654,25/11/2020 17:48:12,29,Male,Berlin,Data Engineer,3.0,3.0,Middle,Azure,"Python, SQL, Azure",54000.0,30.0,full-time,Unlimited contract,German,1000+,Utilities,No
655,25/11/2020 17:49:56,30,Male,Stockholm,Backend Developer,7.0,2.5,Senior,C++,"Python, C/C++, Java / Scala, AWS, Kubernetes, Docker",65000.0,33.0,full-time,Unlimited contract,English,1000+,Product,No
657,25/11/2020 18:00:44,30,Male,Paderborn,Data Scientist,6.0,2.0,Junior,Python,"Python, SQL, Docker",51000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No
659,25/11/2020 18:04:21,37,Male,Berlin,Mobile Developer,16.0,2.0,Senior,iOS,"Kotlin, C/C++, Swift, Ruby",65000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
660,25/11/2020 18:12:52,32,Male,Amsterdam,Mobile Developer,13.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Kotlin,Kotlin,85000.0,27.0,full-time,Unlimited contract,English,1000+,Bank,No
663,25/11/2020 18:19:58,30,Male,Berlin,Software Engineer,7.0,1.0,Senior,Java,"Go, AWS, Kubernetes",86000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
665,25/11/2020 18:28:01,32,Male,Berlin,QA Engineer,10.0,3.0,Senior,js,"Java / Scala, Google Cloud, Docker",81000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
666,25/11/2020 18:28:01,32,Male,Cologne,DevOps,7.0,2.0,Middle,k8s,"Python, Google Cloud, Kubernetes, Docker",60000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,Yes
667,25/11/2020 18:31:48,34,Male,Munich,Software Engineer,12.0,8.0,Senior,Java,"Java / Scala, SQL, Go, Google Cloud, Kubernetes, Docker",74000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
668,25/11/2020 18:45:41,43,Male,Cologne,Backend Developer,10.0,7.0,Senior,Php,PHP,57600.0,26.0,full-time,Unlimited contract,German,101-1000,Product,No
669,25/11/2020 18:49:08,33,Male,Munich,Software Engineer,13.0,4.0,Senior,Java,"Python, Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",70000.0,24.0,full-time,Unlimited contract,English,101-1000,Startup,No
670,25/11/2020 18:51:20,28,Female,Munich,QA Engineer,8.0,4.0,Senior,Kotlin,"Kotlin, Java / Scala, AWS, Kubernetes, Docker",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
671,25/11/2020 18:51:36,33,Male,Hamburg,Software Engineer,11.0,5.0,Senior,Java,"Python, SQL",65000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
672,25/11/2020 18:53:10,33,Male,Munich,Software Engineer,11.0,4.0,Lead,"Frontend: react, node.js","Javascript / Typescript, AWS, Kubernetes, Docker",90000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
673,25/11/2020 18:56:02,51,Male,Berlin,Software Engineer,30.0,30.0,Senior,"VB, RPA, Python","Python, PHP, Javascript / Typescript, .NET, SQL, SAP / ABAP",60000.0,30.0,full-time,Unlimited contract,German,1000+,Consulting / Agency,No
674,25/11/2020 18:57:32,35,Male,Berlin,Software Engineer,8.0,5.0,Senior,Go,"Java / Scala, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",90000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
675,25/11/2020 18:58:56,35,Male,Berlin,Software Engineer,1.0,1.0,Junior,FBD,"PHP, Javascript / Typescript, SQL",30000.0,26.0,full-time,Unlimited contract,German,up to 10,Product,No
677,25/11/2020 19:02:12,28,Male,Munich,Software Engineer,6.0,3.0,Middle,"C, C++","C/C++, Linux Kernel",64000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
679,25/11/2020 19:02:43,25,Male,Berlin,Mobile Developer,2.0,2.0,Middle,"Swift, Objective-C, iOS",Swift,44000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
680,25/11/2020 19:06:21,25,Female,Hamburg,working student (QA),1.0,1.0,student,Ruby,"Java / Scala, SQL",12000.0,12.0,part-time,Temporary contract,English,1000+,Product,No
681,25/11/2020 19:10:04,32,Male,Berlin,Backend Developer,10.0,3.0,Lead,Ruby,"Python, Javascript / Typescript, Ruby, SQL, AWS, Docker",80000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
682,25/11/2020 19:15:16,32,Male,Berlin,Software Engineer,9.0,3.0,Lead,Embedded,"Python, C/C++, Go",73000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
683,25/11/2020 19:31:47,26,Male,Berlin,Architect ,9.0,4.0,Head,Go,"Kotlin, Ruby, Go, Rust, AWS, Kubernetes, Docker",120000.0,24.0,full-time,Unlimited contract,English,1000+,Product,Yes
684,25/11/2020 19:33:52,25,Male,Berlin,Software Engineer,6.0,3.0,Senior,JavaScript / TypeScript,"AWS, Docker",71750.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
685,25/11/2020 19:38:20,27,Female,Berlin,Backend Developer,5.0,2.5,Middle,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes",65000.0,30.0,full-time,Unlimited contract,English,51-100,Product,No
686,25/11/2020 19:44:29,28,Male,Frankfurt,Frontend Developer,7.0,5.0,Senior,Javascript,"Javascript / Typescript, AWS, Azure, Docker",80000.0,29.0,full-time,Unlimited contract,English,11-50,Startup,No
687,25/11/2020 19:44:59,32,Female,Munich,QA Engineer,8.0,1.0,Senior,Java,"Javascript / Typescript, C#",60000.0,26.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
688,25/11/2020 19:54:39,28,Male,Karlsruhe,Backend Developer,7.0,3.0,Senior,Java,"Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",66000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
689,25/11/2020 19:57:23,34,Male,Berlin,Frontend Developer,13.0,1.0,Lead,JavaScript,"Javascript / Typescript, SQL, AWS",85000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
690,25/11/2020 20:01:27,35,Male,Konstanz,Data Scientist,10.0,10.0,Middle,python,"Python, Azure, Kubernetes",65000.0,25.0,full-time,Unlimited contract,English,51-100,Product,No
691,25/11/2020 20:13:33,38,Male,Berlin,Head of Engineering,20.0,9.0,Head,Java,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",130000.0,30.0,full-time,Unlimited contract,English,1000+,Corporation,Yes
694,25/11/2020 20:34:33,31,Female,Ulm,QA Engineer,8.0,3.0,Middle,Java,Java / Scala,45000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
695,25/11/2020 20:41:13,43,Male,Stuttgart,SAP Consultant,20.0,15.0,Senior,SAP / ABAP,"SQL, SAP / ABAP",82000.0,32.0,full-time,Unlimited contract,German,1000+,Product,No
696,25/11/2020 20:42:52,38,Male,Berlin,Data Scientist,15.0,2.0,Head,Python,"Python, SQL, SAP / ABAP, AWS",100000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
697,25/11/2020 20:47:48,35,Male,Munich,DevOps,17.0,5.0,Lead,Kubrrnetes,"R, AWS, Google Cloud, Kubernetes, Docker",72000.0,30.0,full-time,Unlimited contract,English,1000+,Consulting / Agency,No
700,25/11/2020 20:52:51,32,Male,Berlin,DevOps,10.0,1.0,Middle,python,"Python, SQL, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",62000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
703,25/11/2020 21:19:54,37,Male,Berlin,Mobile Developer,17.0,1.0,Senior,Swift,Javascript / Typescript,77000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
705,25/11/2020 21:48:49,29,Male,Berlin,Mobile Developer,5.0,4.0,Senior,iOS,Swift,65000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
707,25/11/2020 22:11:45,38,Male,Stuttgart ,Backend Developer,4.0,2.0,Middle,PHP,"Javascript / Typescript, SQL, Docker",43000.0,30.0,full-time,Unlimited contract,English,up to 10,Consulting / Agency,No
709,25/11/2020 22:40:29,29,Male,Düsseldorf,Frontend Developer,6.0,6.0,Middle,TypeScript,"Javascript / Typescript, Azure",55000.0,30.0,full-time,Unlimited contract,German,11-50,Product,No
710,25/11/2020 23:01:28,35,Male,Berlin,QA Engineer,12.0,3.0,Senior,JS,"Javascript / Typescript, SQL",63000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,Yes
711,25/11/2020 23:03:43,41,Male,Munich,Software Engineer,19.0,5.0,Senior,Java,"PHP, Java / Scala, SQL, AWS, Docker",75000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
712,25/11/2020 23:04:36,29,Male,Barcelona,Data Scientist,0.0,0.0,Junior,Python,"R, SQL",22000.0,22.0,full-time,Unlimited contract,English,51-100,Product,No
713,25/11/2020 23:08:40,26,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5.0,5.0,Middle,ABAP,"Python, SQL",65000.0,30.0,full-time,Unlimited contract,German,up to 10,Startup,No
715,25/11/2020 23:30:07,30,Male,Berlin,Data Engineer,6.0,1.0,Middle,Python,AWS,65000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
716,25/11/2020 23:32:29,26,Male,London,DevOps,3.0,0.0,Middle,"networking, linux, automation, cloud","Python, AWS",37000.0,25.0,full-time,Unlimited contract,English,51-100,Product,No
717,25/11/2020 23:42:47,35,Female,Munich,Backend Developer,4.0,4.0,Middle,PHP,"PHP, Javascript / Typescript, Java / Scala",51000.0,30.0,full-time,Unlimited contract,German,101-1000,Insurance,No
718,25/11/2020 23:51:01,47,Male,Bölingen,Software Engineer,25.0,15.0,Senior,java,"Java / Scala, SQL",70000.0,30.0,full-time,Unlimited contract,German,11-50,Consulting / Agency,No
722,26/11/2020 00:16:00,32,Male,Berlin,Frontend Developer,13.0,2.0,Senior,JavaScript,"PHP, Javascript / Typescript",70000.0,25.0,full-time,Unlimited contract,English,11-50,Product,No
723,26/11/2020 04:00:49,33,Male,Dusseldorf,Data Scientist,2.0,2.0,Lead,Spark,"Python, Docker",70000.0,25.0,full-time,Unlimited contract,English,1000+,Product,No
724,26/11/2020 04:00:56,32,Male,Munich,Frontend Developer,8.0,2.0,Senior,"Js, reactJS ","Javascript / Typescript, AWS",65000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
725,26/11/2020 04:18:01,26,Male,Berlin,Data Engineer,4.0,3.0,Middle,Scala,"Python, Java / Scala, SQL, AWS, Google Cloud, Azure",51000.0,30.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
727,26/11/2020 05:53:19,22,Diverse,Cologne,QA Engineer,1.0,1.0,Head,Cobol,Perl,159000.0,45.0,full-time,Unlimited contract,German,1000+,Product,No
728,26/11/2020 06:01:22,43,Male,Berlin,Engineering Manager,20.0,20.0,Lead,Java,"C/C++, .NET, Java / Scala, AWS, Kubernetes, Docker",105000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
729,26/11/2020 07:06:11,33,Male,Munich,Software Engineer,11.0,6.0,Senior,JavaScript ,".NET, SQL",80000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
730,26/11/2020 07:14:19,35,Female,Frankfurt,Software Engineer,1.0,1.0,Junior,ABAP,"SQL, SAP / ABAP",50000.0,30.0,full-time,Unlimited contract,German,51-100,Consulting / Agency,No
731,26/11/2020 08:04:52,28,Male,Munich,Frontend Developer,5.0,5.0,Middle,JavaScript,"Python, Javascript / Typescript, SQL, Rust, AWS, Kubernetes, Docker",72000.0,28.0,full-time,Unlimited contract,German,11-50,Product,No
732,26/11/2020 08:35:29,36,Male,Munich,DevOps,16.0,0.0,Senior,SRE,"Python, C/C++, Go",105000.0,30.0,full-time,Unlimited contract,English,1000+,Product,Yes
733,26/11/2020 08:37:49,27,Male,Munich,Data Engineer,2.0,0.0,Junior,Python ,"Python, SQL, AWS, Azure, Docker",49000.0,30.0,full-time,Unlimited contract,German,11-50,Consulting / Agency,No
734,26/11/2020 08:39:28,36,Male,Berlin,Backend Developer,4.0,1.0,Middle,Java,"Python, SQL, Kubernetes, Docker",55000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
735,26/11/2020 08:40:22,38,Male,Berlin,Backend Developer,5.0,1.0,Middle,Java,"Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",66000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
736,26/11/2020 08:40:41,28,Male,Berlin,Mobile Developer,6.0,1.0,Middle,Android,"Kotlin, Java / Scala",85000.0,32.0,full-time,Unlimited contract,English,1000+,Product,No
737,26/11/2020 08:41:29,25,Male,Berlin,Mobile Developer,8.0,0.0,Senior,Clojure,"Swift, Javascript / Typescript, Java / Scala, Clojure",85000.0,24.0,full-time,Unlimited contract,English,51-100,Startup,No
738,26/11/2020 08:42:09,30,Male,Berlin,Frontend Developer,6.0,1.0,Senior,Javascript,"Python, Javascript / Typescript, SQL, SAP / ABAP",79000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
740,26/11/2020 09:02:41,30,Male,Berlin,Backend Developer,8.0,2.0,Middle,Python,"SQL, AWS, Kubernetes, Docker",74000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
741,26/11/2020 09:09:03,28,Male,Berlin,Backend Developer,8.0,1.0,Lead,Ruby,"SQL, AWS",67000.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
742,26/11/2020 09:13:05,32,Female,Berlin,DevOps,9.0,5.0,Middle,"Terraform, Kubernetes, AWS, GCP, Ansible, Puppet","Ruby, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",74000.0,40.0,full-time,Unlimited contract,English,101-1000,Product,No
743,26/11/2020 09:20:23,29,Male,Berlin,Frontend Developer,3.0,0.0,Middle,JavaScript ,PHP,48000.0,26.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
745,26/11/2020 09:38:35,35,Male,Berlin,Software Engineer,13.0,5.0,Lead,TypeScript,"Python, Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Elixir",103000.0,29.0,full-time,Unlimited contract,English,101-1000,Startup,No
746,26/11/2020 09:40:54,33,Male,Berlin,Frontend Developer,10.0,4.0,Senior,JS,"Javascript / Typescript, Google Cloud, Kubernetes, Docker",74000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
747,26/11/2020 09:49:16,34,Male,Berlin,Backend Developer,13.0,1.0,Senior,Elixir,SQL,70000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
748,26/11/2020 09:50:38,25,Male,Berlin,Backend Developer,6.0,2.0,Senior,Go,"Python, SQL, Go, AWS, Kubernetes, Docker",86000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
750,26/11/2020 10:07:39,25,Female,Tampere (Finland),computer vision researcher,3.0,0.0,Junior,Python,"Python, Tensorflow, Theano, Pytorch",23000.0,30.0,full-time,Temporary contract,English,51-100,Science Institute ,No
751,26/11/2020 10:11:01,40,Male,Berlin,Backend Developer,14.0,8.0,Lead,Spring,"Java / Scala, AWS, Azure, Kubernetes, Docker",135000.0,30.0,freelancer,Temporary contract,English,101-1000,Product,No
752,26/11/2020 10:14:19,33,Male,Heidelberg,Software Engineer,11.0,5.0,Senior,Python,"Python, Javascript / Typescript, SQL, AWS, Kubernetes, Docker",80000.0,30.0,full-time,Temporary contract,English,101-1000,Research institute,No
753,26/11/2020 10:31:07,39,Male,Cologne,Teamlead,12.0,12.0,Head,PHP ,"AWS, Docker",75000.0,30.0,full-time,Unlimited contract,German,up to 10,Startup,No
754,26/11/2020 10:31:59,24,Male,Berlin,Software Engineer,2.0,2.0,Junior,Javascript,"Javascript / Typescript, Java / Scala, SQL, AWS, Docker",50000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
755,26/11/2020 10:40:41,24,Female,Prague,Software Engineer,3.0,0.0,Middle,Java,"Java / Scala, AWS, Azure, Kubernetes, Docker",29000.0,20.0,full-time,Unlimited contract,English,11-50,Startup,No
756,26/11/2020 10:53:48,39,Male,Berlin,Engineering Manager,15.0,10.0,Lead,Java,"Python, Kotlin, Javascript / Typescript, SQL, Docker",78000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No
757,26/11/2020 10:59:10,33,Male,Amsterdam,Backend Developer,8.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,C#,"Python, .NET, SQL",75000.0,27.0,full-time,Temporary contract,English,11-50,Product,No
759,26/11/2020 11:13:18,29,Male,Berlin,Software Engineer,6.0,0.5,Middle,Swift,Swift,70000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
760,26/11/2020 11:33:16,29,Female,Berlin,Software Engineer,5.0,2.0,Middle,PHP,"Python, Javascript / Typescript, SQL, AWS, Google Cloud, Docker",55000.0,24.0,full-time,Unlimited contract,English,11-50,Startup,No
761,26/11/2020 11:45:08,32,Male,Prague,Software Engineer,8.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,"C, C++",Python,36000.0,25.0,full-time,Unlimited contract,Czech,1000+,Product,No
763,26/11/2020 11:49:59,30,Male,Berlin,Backend Developer,9.0,3.0,Head,Java,"Javascript / Typescript, Java / Scala, Go, AWS, Docker",85000.0,25.0,full-time,Unlimited contract,English,51-100,Startup,No
764,26/11/2020 11:50:35,31,Male,Berlin,ML Engineer,7.0,2.0,Middle,Python,"AWS, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
765,26/11/2020 12:20:03,33,Male,Berlin,Mobile Developer,8.0,2.0,Senior,swift,SQL,75000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
766,26/11/2020 12:21:47,31,Female,Berlin,Software Engineer,1.0,1.0,Junior,React,"Python, AWS, Kubernetes, Docker, React",57000.0,30.0,full-time,Unlimited contract,English,1000+,Retail,No
767,26/11/2020 12:47:20,36,Male,Frankfurt,Software Engineer,16.0,5.0,Middle,.Net,".NET, SQL",65000.0,30.0,full-time,Unlimited contract,German,51-100,Consulting / Agency,No
769,26/11/2020 14:10:57,30,Male,Berlin,Mobile Developer,8.0,5.0,Senior,Swift,"Python, Kotlin, Swift, Javascript / Typescript",60000.0,50.0,freelancer,Temporary contract,English,up to 10,Consulting / Agency,No
771,26/11/2020 14:48:23,39,Male,Berlin,Software Engineer,19.0,7.0,Senior,Golang,"Python, Ruby, Go, AWS, Google Cloud, Kubernetes, Docker",87000.0,100.0,full-time,Unlimited contract,English,11-50,Startup,No
773,26/11/2020 15:14:31,32,Male,Berlin,Software Engineer,11.0,1.0,Senior,C++,"Python, C/C++, Rust",100000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
774,26/11/2020 15:29:49,35,Male,Berlin,Backend Developer,12.0,3.0,Senior,php,"SQL, Google Cloud, Docker",54000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
775,26/11/2020 15:31:02,34,Male,Berlin,Data Scientist,6.0,4.5,Senior,python,"Python, Javascript / Typescript, SQL, Google Cloud, Docker",80000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
776,26/11/2020 15:37:45,26,Male,Berlin,Data Scientist,4.0,2.0,Middle,Python,"Python, SQL, Google Cloud, Docker",60000.0,27.0,full-time,Unlimited contract,English,1000+,Ecommerce,No
777,26/11/2020 16:20:53,29,Male,Helsinki,Mobile Developer,7.0,0.0,Senior,Kotlin,"Javascript / Typescript, Java / Scala, Flutter",64000.0,30.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No
778,26/11/2020 17:08:47,42,Male,Berlin,Frontend Developer,18.0,5.0,Senior,React JS,Javascript / Typescript,850000.0,35.0,full-time,Unlimited contract,English,101-1000,Product,Yes
779,26/11/2020 17:24:39,31,Male,Berlin,Software Engineer,12.0,2.0,Senior,Java,"SQL, Go, AWS, Kubernetes, Docker",60000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
781,26/11/2020 17:27:56,33,Male,Berlin,Software Engineer,10.0,5.0,Senior,Python,"PHP, Javascript / Typescript, SQL, Go, Google Cloud, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
782,26/11/2020 17:45:29,28,Male,Berlin,Data Engineer,6.0,1.5,Middle,Python,"Java / Scala, SQL, Kubernetes, Docker",83000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
784,26/11/2020 18:57:33,35,Male,Düsseldorf,Data Scientist,3.0,3.0,Middle,Python,"SQL, AWS",68000.0,26.0,full-time,Unlimited contract,English,51-100,E-Commerce,No
785,26/11/2020 19:22:38,35,Male,Berlin,Consultant,16.0,6.0,Senior,Python,"Python, Java / Scala, SQL, Google Cloud",100000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
786,26/11/2020 19:22:45,31,Male,Berlin,Software Engineer,8.0,3.0,Senior,Typescript ,"Javascript / Typescript, Java / Scala, Go, Rust, AWS, Kubernetes, Docker",80000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
787,26/11/2020 19:25:56,32,Male,Siegen,Software Engineer,13.0,1.0,Junior,C,C/C++,48000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No
788,26/11/2020 20:19:33,38,Male,Berlin,Software Engineer,15.0,3.0,Senior,Go,"Google Cloud, Docker",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
789,26/11/2020 20:19:38,29,Male,Berlin,Engineering Manager,9.0,0.1,Lead,Go,"SQL, AWS, Docker",85000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
790,26/11/2020 20:41:46,33,Male,Berlin,Backend Developer,13.0,1.0,Senior,Java,"Kotlin, Java / Scala, SQL, AWS, Google Cloud, Docker",110000.0,24.0,full-time,Unlimited contract,English,101-1000,Product,No
792,26/11/2020 21:13:25,28,Male,Berlin,Fullstack Developer,6.0,6.0,Senior,JavaScript,"Javascript / Typescript, SQL, AWS, Docker",75000.0,25.0,full-time,Unlimited contract,English,11-50,Startup,No
793,26/11/2020 21:13:28,32,Male,Berlin,Senior Data Engineer,9.0,4.0,Senior,Python,"Java / Scala, SQL, AWS",90000.0,30.0,full-time,Unlimited contract,English,51-100,Startup,No
794,26/11/2020 21:19:48,39,Male,Berlin,Frontend Developer,10.0,3.0,Senior,Javascript,"Javascript / Typescript, Ruby, AWS, Docker",85000.0,27.0,full-time,Unlimited contract,English,101-1000,Product,No
795,26/11/2020 21:22:59,31,Male,Minsk,Frontend Developer,6.0,0.0,Senior,TypeScript/Angular,"Python, Javascript / Typescript",110000.0,30.0,full-time,Unlimited contract,English,11-50,Product,No
796,26/11/2020 21:29:02,33,Male,Berlin,Software Engineer,10.0,5.0,Senior,golang,"Go, Google Cloud, Kubernetes, Docker",110000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
797,26/11/2020 21:30:58,30,Male,Berlin,QA Engineer,8.0,3.0,Senior,Python,"Python, C/C++, Docker",68000.0,30.0,full-time,Unlimited contract,English,51-100,Startup,No
799,26/11/2020 21:42:38,30,Female,Düsseldorf ,Analyst,2.0,2.0,Junior,R,"Python, SQL",45000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
800,26/11/2020 21:49:57,37,Male,Munich,Software Engineer,15.0,6.0,Senior,C#,"Python, PHP, Javascript / Typescript, .NET, Java / Scala, AWS, Azure",80000.0,30.0,full-time,Unlimited contract,German,51-100,Consulting / Agency,Yes
801,26/11/2020 21:50:13,42,Male,Berlin,Software Engineer,20.0,2.0,Senior,PHP,"PHP, Javascript / Typescript, AWS, Docker",65000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
803,26/11/2020 22:35:44,31,Male,Nuremberg,QA Engineer,9.0,5.0,Middle,Java,"Javascript / Typescript, Java / Scala",60000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
804,26/11/2020 22:41:33,20,Male,Berlin,Mobile Developer,5.0,2.0,Lead,C#,.NET,240000.0,27.0,full-time,Unlimited contract,English,1000+,Product,Yes
805,26/11/2020 22:44:06,34,Female,Berlin,QA Engineer,11.0,11.0,Senior,Python,"AWS, Kubernetes, Docker",60000.0,28.0,full-time,Unlimited contract,German,1000+,Product,No
807,26/11/2020 23:26:02,35,Male,Berlin,Engineering Manager,20.0,6.0,Lead,Go,"PHP, Java / Scala, Go, AWS, Docker",85000.0,26.0,full-time,Unlimited contract,English,11-50,Product,No
808,26/11/2020 23:34:45,31,Male,Munich,Software Engineer,14.0,1.5,Senior,C++,"Javascript / Typescript, Java / Scala",75000.0,30.0,full-time,Unlimited contract,English,101-1000,Consulting / Agency,No
809,26/11/2020 23:40:18,37,Male,Berlin,Software Engineer,11.0,5.0,Senior,Python,"C/C++, SQL, Docker",73000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
810,26/11/2020 23:45:20,37,Male,Berlin,Backend Developer,12.0,2.6,Lead,Kotlin/PHP,"Kotlin, PHP, SQL",90000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
811,27/11/2020 00:02:27,34,Male,Berlin,Mobile Developer,9.0,2.0,Senior,iOS,Swift,80000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No
